Yelp_Reviews(NYC)
Borough_ID,Borough,Name,Review,Service_name,Type
1,BRONX,Martha’s Country Bakery,4.5,restaurants," Italian, Pizza, Desserts "
1,BRONX,Antonio’s Trattoria,4,restaurants, Latin American 
1,BRONX,Travesias,4,restaurants," Cuban, Latin American "
1,BRONX,Havana Cafe,4.5,restaurants, Mexican 
1,BRONX,Taqueria Tlaxcalli,4,restaurants," Colombian, Empanadas "
1,BRONX,La Masa,3.5,restaurants," Seafood, Italian, American (Traditional) "
1,BRONX,The Original Crab Shanty Restaurant,4,restaurants," American (Traditional), Pubs "
1,BRONX,Bronx Alehouse,4,restaurants," Sports Bars, American (Traditional) "
1,BRONX,The Bronx Public,4,restaurants, Seafood 
1,BRONX,Johnny’s Reef Restaurant,4.5,restaurants," American (Traditional), Speakeasies "
1,BRONX,Beatstro,4.5,restaurants," American (Traditional), Wine Bars "
1,BRONX,The Hill Bistro,4,restaurants," American (New), Latin American, Dominican "
1,BRONX,Leche Y Miel Restaurant,4.5,restaurants," American (New), Seafood, Breakfast & Brunch "
1,BRONX,The Waterfront NYC,4,restaurants, Vietnamese 
1,BRONX,Com Tam Ninh Kieu,4,restaurants," Italian, Pizza "
1,BRONX,Trattoria Zero Otto Nove,3.5,restaurants, Seafood 
1,BRONX,City Island Lobster House,4,restaurants, Diners 
1,BRONX,Jimmy’s Grand Cafe,4,restaurants," Caribbean, Seafood, Bars "
1,BRONX,Fish N’ Ting,4.5,restaurants," American (New), Gastropubs, Burgers "
1,BRONX,Archie’s Tap & Table,4,restaurants," Bars, American (Traditional), Salad "
1,BRONX,Charlie’s Bar & Kitchen,4,restaurants, American (Traditional) 
1,BRONX,Landin Mac & Cheese,4,restaurants, Italian 
1,BRONX,Patricia’s,4,restaurants, Italian 
1,BRONX,Dominick’s Restaurant,4.5,restaurants, Diners 
1,BRONX,George’s Diner & Cafe,4,restaurants, Dominican 
1,BRONX,Ajo Y Oregano,4.5,restaurants," Greek, Seafood, Mediterranean "
1,BRONX,SOFRA - Traditional Greek & Albanian cuisine,4.5,restaurants, Burgers 
1,BRONX,Bronx Burger Bistro,4,restaurants," Seafood, Steakhouses, Caterers "
1,BRONX,Arties Steak & Seafood,4.5,restaurants," Coffee & Tea, Cafes "
1,BRONX,The Boogie Down Grind Café,4,restaurants, American (New) 
1,BRONX,Hudson Garden Grill,4.5,restaurants," Italian, Pizza, Desserts "
1,BRONX,Antonio’s Trattoria,4,restaurants, Latin American 
1,BRONX,Travesias,4,restaurants," Cuban, Latin American "
1,BRONX,Havana Cafe,4.5,restaurants, Mexican 
